state,city
AL,Birmingham
AK,Anchorage
AZ,Phoenix
AR,Little Rock
CA,Los Angeles
CO,Denver
CT,Bridgeport
DE,Wilmington
FL,Jacksonville
GA,Atlanta
HI,Honolulu
ID,Boise
IL,Chicago
IN,Indianapolis
IA,Des Moines
KS,Wichita
KY,Louisville
LA,New Orleans
ME,Portland
MD,Baltimore
MA,Boston
MI,Detroit
MN,Minneapolis
MS,Jackson
MO,Kansas City
MT,Billings
NE,Omaha
NV,Las Vegas
NH,Manchester
NJ,Newark
NM,Albuquerque
NY,New York
NC,Charlotte
ND,Fargo
OH,Columbus
OK,Oklahoma City
OR,Portland
PA,Philadelphia
RI,Providence
SC,Columbia
SD,Sioux Falls
TN,Memphis
TX,Houston
UT,Salt Lake City
VT,Burlington
VA,Virginia Beach
WA,Seattle
WV,Charleston
WI,Milwaukee
WY,Cheyenne
AL,Montgomery
AK,Juneau
AZ,Tucson
AR,Fort Smith
CA,San Diego
CO,Colorado Springs
CT,New Haven
DE,Dover
FL,Miami
GA,Columbus
HI,Hilo
ID,Meridian
IL,Aurora
IN,Fort Wayne
IA,Cedar Rapids
KS,Olathe
KY,Lexington
LA,Baton Rouge
ME,Lewiston
MD,Columbia
MA,Worcester
MI,Grand Rapids
MN,Saint Paul
MS,Gulfport
MO,Saint Louis
MT,Missoula
NE,Lincoln
NV,Henderson
NH,Nashua
NJ,Jersey City
NM,Las Cruces
NY,Buffalo
NC,Raleigh
ND,Bismarck
OH,Cleveland
OK,Tulsa
OR,Salem
PA,Pittsburgh
RI,Warwick
SC,Charleston
SD,Rapid City
TN,Nashville
TX,San Antonio
UT,Provo
VT,Essex
VA,Norfolk
WA,Spokane
WV,Huntington
WI,Madison
WY,Casper
AL,Mobile
AK,Fairbanks
AZ,Mesa
AR,Fayetteville
CA,San Jose
CO,Aurora
CT,Stamford
DE,Newark
FL,Tampa
GA,Augusta
HI,Kailua
ID,Nampa
IL,Rockford
IN,Evansville
IA,Davenport
KS,Kansas City
KY,Bowling Green
LA,Shreveport
ME,Bangor
MD,Germantown
MA,Springfield
MI,Sterling Heights
MN,Rochester
MS,Southaven
MO,Springfield
MT,Great Falls
NE,Bellevue
NV,Reno
NH,Concord
NJ,Paterson
NM,Rio Rancho
NY,Rochester
NC,Greensboro
ND,Grand Forks
OH,Cincinnati
OK,Norman
OR,Eugene
PA,Allentown
RI,Cranston
SC,North Charleston
SD,Aberdeen
TN,Knoxville
TX,Dallas
UT,Provo
VT,South Burlington
VA,Chesapeake
WA,Tacoma
WV,Morgantown
WI,Green Bay
WY,Laramie
